Product Name,Price
"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 15.6"" OLED FHD Laptop",61000
"Lenovo V14 Gen 4 Note PC Core i3 13th Gen 14"" FHD IPS Laptop",61500
"Acer TravelLite TL14-52M Core i3 13th Gen 8GB RAM 512GB Storage 14"" FHD Laptop",61500
"ASUS Vivobook 15 X1504VA-NJ550W Core i3 13th Gen 15.6"" FHD Laptop",61500
ASUS Vivobook 15 X1504VA Core i3 13th Gen 8GB RAM 512GB SSD 15.6 Inch FHD Laptop,62000
"Acer Aspire Lite AL15-52 Core i5 12th Gen 15.6"" FHD Laptop With Backlit Keyboard",62500
"HP 15-fd0203TU Core i3 13th Gen 15.6"" FHD Laptop",63000
"HP 15-fd1110TU Core 3 100U 15.6"" FHD Laptop",63800
"HP 15-fd1108TU Core 3 100U 15.6"" FHD Laptop",63800
"Acer Aspire 3 A315-59-56VC Core i5 12th Gen 15.6"" FHD Laptop",63900
"Acer Aspire 3 A315-59-5031 Core i5 12th Gen 15.6"" FHD Laptop",63900
"Dell Vostro 3430 Core i3 13th Gen 14"" FHD Laptop",63900
"Acer Extensa 15 EX215-54-57SB Core i5 11th Gen 15.6"" FHD Laptop",64000
"Acer Aspire Lite AL15-52 Core i5 12th Gen 16GB RAM 15.6"" FHD Laptop",64500
"Acer Aspire 3 Spin A3SP14-31PT Core i3 N305 8GB RAM 512GB SSD 14"" WUXGA Touch Laptop",64500
"HP 15-fc0229AU Ryzen 5 7520U 15.6"" FHD Laptop",65500
"Lenovo IdeaPad Slim 3 14IAH8 Core i5 12th Gen 14"" FHD Military Grade Laptop",65800
"Lenovo IdeaPad Slim 3 15IAH8 Core i5 12th Gen 15.6"" FHD Military Grade Laptop",65800
"Lenovo IdeaPad Slim 3 14IAH8 Core i5 12th Gen 14"" FHD Military Grade Laptop Arctic Grey",65800
"Lenovo IP Slim 3 15ABR8 Ryzen 7 15.6"" FHD Laptop (RAM Not Upgradable)",65900
"Asus VivoBook Go 15 E1504FA Ryzen 5 7520U 8GB RAM 512GB SSD 15.6"" FHD Laptop",66500
"Lenovo IdeaPad Slim 3 15AMN8 Ryzen 5 7520U 15.6"" FHD TN Laptop",67000
"Lenovo IdeaPad Slim 3 Ryzen 5 7520U 15.6"" FHD Laptop 16GB DDR5 RAM 512GB SSD with 2 Years Warranty",67000
"Lenovo IdeaPad Slim 3 15IAH8 Core i5 12th Gen 15.6"" FHD Military Grade Laptop Abyss Blue",67000
"HP 240 G8 Core i5 11th Gen 14"" FHD Laptop",67500
"Walton Passion BX710U Core i7 10th Gen 15.6"" FHD Laptop",67500
"ASUS ExpertBook B1 B1502CVA-NJ1313 Core i3 13th Gen 15.6"" FHD Laptop",67500
"Dell Inspiron 15 3520 Core i5 12th Gen 15.6"" FHD Laptop (For Business)",67500
"Lenovo IdeaPad Slim 3 14IAH8 Core i5 12th Gen 12450H 14"" FHD Laptop",68000
"Asus Vivobook 16 X1605VA Core i3 13th Gen 16"" WUXGA Laptop",68300
"Dell Latitude 3530 Core i3 12th Gen 15.6"" FHD Touch Laptop",68500
"ASUS Vivobook 15 F1504ZA Core i5 12th Gen 512GB SSD 15.6"" FHD Laptop",68500
"ASUS Vivobook 15 F1504ZA Core i5 12th Gen 15.6"" FHD Laptop Cool Silver",68500
"Lenovo IdeaPad Slim 3 15IAH8 Core i5 12th Gen 12450H 15.6"" FHD Laptop",68600
"Asus VivoBook Go 15 OLED E1504FA Ryzen 3 7320U 15.6"" FHD Laptop",68800
"HP 15-fc0166AU Ryzen 5 7520U 15.6"" FHD Laptop With Fingerprint",68800
"Acer TravelMate TMP214-54 Core i5 12th Gen 14"" FHD Laptop",69000
"Asus VivoBook Go 15 E1504FA Ryzen 5 7520U 15.6"" FHD Laptop",69800
"Lenovo IdeaPad Slim 3 14ABR8 Ryzen 7 7730U Arctic Grey 14"" FHD Laptop",70000
"Lenovo V15 Gen 3 Core i5 12th Gen 15.6"" FHD Laptop",70000
"Dell Inspiron 3530 Core i5 13th Gen 15.6"" FHD Laptop",70100
"Asus VivoBook Go 15 E1504FA Ryzen 5 7520U 16GB RAM 512GB SSD 15.6"" FHD Laptop",70500
"Asus VivoBook Go 15 E1504FA Ryzen 5 7520U 16GB RAM 15.6"" FHD Laptop Green Gray",70500
"Lenovo IdeaPad Slim 3 15AMN8 Ryzen 5 7520U 15.6"" FHD Laptop",70500
"Acer Extensa 14 EX214-53-53LY Core i5 12th Gen 14"" FHD Laptop",71000
"MSI Modern 15 B7M AMD Ryzen 5 7430U 15.6"" FHD Laptop Star Blue",71000
"MSI Modern 15 B7M AMD Ryzen 5 7430U 15.6"" FHD Laptop",71000
"MSI Modern 14 C7M AMD Ryzen 5 7430U 14"" FHD Laptop",71000
"Lenovo IdeaPad Slim 3 15IRH8 Core i5 13th Gen 8GB RAM 15.6"" FHD Military Grade Laptop With FreeDOS",71300
"Lenovo IdeaPad Slim 3i 15IRH8 Core i5 13th Gen 15.6"" FHD Military Grade Laptop With Windows 11",71500
"Lenovo IdeaPad Slim 3i 15IRH8 Core i5 13th Gen 15.6"" FHD Military Grade Laptop",71500
"Smart Flairedge Core i7 12th Gen 15.6"" FHD Laptop",71925
"ASUS VivoBook 16 X1605ZA Core i3 12th Gen 16"" WUXGA Laptop",72000
"HP 15-fd0292TU Core i5 13th Gen 15.6"" FHD Laptop",72300
"HP 15-fd0290TU Core i5 13th Gen 15.6"" FHD Laptop",72300
